id,cfa-delegated-siret,is-delegated,managed-by
60efd413f527470047967b46,38320309800025,TRUE,61d30477f7e463003bfa5da9
60efd569f5274700479778f7,,FALSE,61d30559f7e463003bfa5fa2
60efd637f527470047981b6b,85027717900014,TRUE,61d305f4f7e463003bfa612e
60efd4bcf52747004796f86f,45270314300068,TRUE,61d304e0f7e463003bfa5ea6
60efd585f527470047978f67,,FALSE,61d30564f7e463003bfa5fc5
60efd5abf52747004797ac9b,79463728000023,TRUE,61d30579f7e463003bfa5ff7
60efd583f527470047978d24,,FALSE,61d30563f7e463003bfa5fc0
60efd5f6f52747004797e7c3,,FALSE,61d305b0f7e463003bfa6081
60f03e6aaa5afe002a561e8b,,FALSE,61d3060df7e463003bfa6179
60feb13ceb2c8c0029ba4b10,,FALSE,61d306a0f7e463003bfa6261
61fcfe2ee2ef7100281b264a,,FALSE,61fcfe2ee2ef7100281b264c
621657501c14080028437478,,FALSE,621657501c1408002843747a
61e541fbcc6f740028f8732f,81073642100050,TRUE,61e53eeecc6f740028f872b9
61e7c339ed1b4b002aebd275,13002087800083,TRUE,61dd2a8de9c47a002966f6b5
620f7765489f5a0028740d43,30540504500660,TRUE,620f68ab489f5a0028740a59
6220ef5adcba4c00270beaee,49098556100011,TRUE,61f128e35082a80028cd574d
6225c5ba58dd3800286cc119,,FALSE,6225c5bb58dd3800286cc11b
6231fd3ee1c46d0292948cd9,81073642100050,TRUE,61e53eeecc6f740028f872b9
62346f09e1c46d029294f9a8,81073642100050,TRUE,61e53eeecc6f740028f872b9
62346945e1c46d029294f812,81073642100050,TRUE,61e53eeecc6f740028f872b9
624575b6f4150c01ec6768f7,81742674500037,TRUE,6239a5bbea0d770029d751fe
6242dca9c9fc0a00282d6a58,,FALSE,6242dca9c9fc0a00282d6a5a
6267bd231460ea00289567d1,,FALSE,6267bd231460ea00289567d3
6267b15c1460ea0028956310,78611740800025,TRUE,626694f91460ea0028952c0f
6262cfb75b8ec100299dda57,81073642100050,TRUE,61e53eeecc6f740028f872b9
6267b37a1460ea00289563f7,78611740800025,TRUE,626694f91460ea0028952c0f
626a5b461460ea002895e71d,87822534100014,TRUE,626a59b21460ea002895e673
626fd8585b214a0028f5f82e,,FALSE,626fd8585b214a0028f5f830
6272246616522f0047cd8bab,,FALSE,6272246616522f0047cd8bad
627e575c98fdcc0028ca98da,,FALSE,627e575c98fdcc0028ca98dc
6283aad7d10967002890af15,41273026900161,TRUE,6283aa05d10967002890aeba
628774122ff4860027adc7e1,,FALSE,628774122ff4860027adc7e3
627a0dcb72d9a90029aea397,,FALSE,627a0dcb72d9a90029aea399
627b8c5872d9a90029aef569,39927651800012,TRUE,620bc279489f5a002873aa40
627fc1a898fdcc0028cabd90,,FALSE,627fc1a898fdcc0028cabd92
62825cb1aaf097002716f8ae,,FALSE,62825cb1aaf097002716f8b0
628743c12ff4860027adb783,,FALSE,628743c12ff4860027adb785
627bd38c72d9a90029af0cef,30587307700039,TRUE,627bc34e72d9a90029af0690
62824bccaaf097002716f128,13002087800083,TRUE,61dd2a8de9c47a002966f6b5
629a0e533bc0ef018cb320d0,,FALSE,629a0e533bc0ef018cb320d2
62971879d736620027275cd1,,FALSE,62971879d736620027275cd3
629a2ffa3bc0ef018cb33185,39927651800012,TRUE,620bc279489f5a002873aa40
6299b3003bc0ef018cb2efd6,53948741300038,TRUE,6284c31cd10967002890de8b
629a37e03bc0ef018cb3346a,39927651800012,TRUE,620bc279489f5a002873aa40
62ac866cc900d50027d2b8dd,13002948100012,TRUE,629f65381e18080027efcbb8
62a85dc3c900d50027d1e523,13002948100012,TRUE,629f65381e18080027efcbb8
62a859cdc900d50027d1e288,13002948100012,TRUE,629f65381e18080027efcbb8
62a9ef25c900d50027d24229,,FALSE,62a9ef25c900d50027d2422b
62ab23fec900d50027d2754b,,FALSE,62ab23fec900d50027d2754d
62b0404ae6518c0028d10a18,,FALSE,62b0404ae6518c0028d10a1a
62a87817c900d50027d1ed2e,,FALSE,62a87817c900d50027d1ed30
62a85b57c900d50027d1e39a,13002948100012,TRUE,629f65381e18080027efcbb8
62a9fedcc900d50027d24778,13002280900029,TRUE,621e9121a9d86e00282eeb18
62a9ffc7c900d50027d247d5,13002280900029,TRUE,621e9121a9d86e00282eeb18
62b19c08e6518c0028d159ef,39927651800012,TRUE,620bc279489f5a002873aa40
62b19cf1e6518c0028d15a4f,39927651800012,TRUE,620bc279489f5a002873aa40
62b3286ce6518c0028d1b2f4,34521216100029,TRUE,621c95e4a9d86e00282e9369
62b329b8e6518c0028d1b38c,34521216100029,TRUE,621c95e4a9d86e00282e9369
62b48448ee51c80028ee5aad,,FALSE,62b48448ee51c80028ee5aaf
62c273ebf38e2d0028656937,,FALSE,62c273ebf38e2d0028656939
62b97b989419c50028cd687b,,FALSE,62b97b989419c50028cd687d
62c2cf93f38e2d0028658054,81260517800019,TRUE,62c2cb77f38e2d0028657eae
62c3071bf38e2d002865996e,83486365600023,TRUE,625fc2249beecd0028a11e00
62befef447e09500288c630b,,FALSE,62befef447e09500288c630d
62c2ce8cf38e2d0028657fdf,81260517800019,TRUE,62c2cb77f38e2d0028657eae
62d012d2e6a91f0028aaf5f7,,FALSE,62d012d2e6a91f0028aaf5f9
62ce84a1e6a91f0028aab2a1,,FALSE,62ce84a1e6a91f0028aab2a3
62cd8f8ce6a91f0028aa8fcd,90966279300019,TRUE,628e4fee408e970028449ddf
62d66003fbe9b40028afe1f9,,FALSE,62d66003fbe9b40028afe1fb
62d50b49a0734b002835a251,,FALSE,62d50b49a0734b002835a253
62ce73ede6a91f0028aaadc8,,FALSE,62ce73ede6a91f0028aaadca
62d7ca44fbe9b40028b02dc7,35323259800030,TRUE,62d7c432fbe9b40028b02bd2
62d7cb32fbe9b40028b02e23,,FALSE,62d7cb32fbe9b40028b02e25
62e10b3e493fab004b5d6dbb,89234889700026,TRUE,62e10ada493fab004b5d6d8a
62e0fd77493fab004b5d66ed,82225183100027,TRUE,62e0f2307bf3380028376003
62e103ea493fab004b5d6a8c,42924994900174,TRUE,62e0fd24493fab004b5d66c2
62e102b0493fab004b5d69f1,42924994900174,TRUE,62e0fd24493fab004b5d66c2
62e22d5698aee50028d75d6d,85188985700013,TRUE,62e22ce298aee50028d75d5c
62e15373493fab004b5d87e6,42924994900174,TRUE,62e0fd24493fab004b5d66c2
62e130f5493fab004b5d7ba5,32922456200614,TRUE,62e12d00493fab004b5d7a46
62e11357493fab004b5d70d1,,FALSE,62e11357493fab004b5d70d3
62e0f4527bf3380028376190,52344837100030,TRUE,62e0f2047bf3380028375fdf
62e931eb2b3aac0028732228,81742674500037,TRUE,6239a5bbea0d770029d751fe
62f1020ec627860028115570,,FALSE,62f1020ec627860028115572
62fca4ef6e89960028b98c9c,78334443500038,TRUE,62fb98599e78690028f1db3e
62fe48db6e89960028b9db73,,FALSE,62fe48db6e89960028b9db75
62ebf6672b3aac0028737db4,,FALSE,62ebf6672b3aac0028737db6
62ed18ea2b3aac0028739763,81742674500037,TRUE,6239a5bbea0d770029d751fe
62ed1a072b3aac00287397df,81742674500037,TRUE,6239a5bbea0d770029d751fe
62ecb6a02b3aac0028738804,84076431000016,TRUE,62ecb5e92b3aac00287387f2
6308746ef80f5700283258ac,,FALSE,6308746ef80f5700283258ae
6320d93544ff5200286d5921,,FALSE,6320d93544ff5200286d5923
6319b541d3bbdd0028a11356,,FALSE,6319b541d3bbdd0028a11358
6316fec0986594002707983f,,FALSE,6316fec09865940027079841
633556085680f200287afd51,45101497100019,TRUE,6332aa11ca205b0028daa1fe
633561d15680f200287b0124,80210238400046,TRUE,632ae21ce8c4020056838be7
632d5e7de8c402005683e638,41071736700040,TRUE,632af479e8c4020056839155
6320dbef44ff5200286d5986,,FALSE,6320dbef44ff5200286d5988
633aaf27e8d23e002782a5ee,,FALSE,633aaf27e8d23e002782a5f0
633a7c49e8d23e0027829cf6,,FALSE,633a7c49e8d23e0027829cf8
63356f055680f200287b05d0,80210238400046,TRUE,632ae21ce8c4020056838be7
633d4bb9092ba70027561f99,,FALSE,633d4bb9092ba70027561f9b
633c2c0b092ba7002755fd53,45398962600032,TRUE,633ab1fee8d23e002782a6af
6344242e8339300027d1d740,,FALSE,6344242e8339300027d1d742
634440018339300027d1df05,,FALSE,634440018339300027d1df07
634eb81be03b7200287dd97a,40173019700043,TRUE,62e0ffa3493fab004b5d683f
635a4d59b0b75d0028022b0d,,FALSE,635a4d59b0b75d0028022b0f
635944933984780028112f31,38903568400064,TRUE,632af5a7e8c40200568391a2
634573d08339300027d20148,,FALSE,634573d08339300027d2014a
636a7e9cf9185b0027cbfdad,,FALSE,636a7e9cf9185b0027cbfdaf
6359472c3984780028113064,38903568400064,TRUE,632af5a7e8c40200568391a2
637cd217c0239b0028e8649d,45398962600032,TRUE,633ab1fee8d23e002782a6af
6388ba912f024900287a7f0e,,FALSE,6388ba912f024900287a7f10
6388b9482f024900287a7e99,,FALSE,6388b9482f024900287a7e9b
6388c4746032e5002847e8f6,,FALSE,6388c4756032e5002847e8f8
6388ccb46032e5002847eb88,79323449300039,TRUE,6388671c2f024900287a75a4
6388c6286032e5002847e98a,,FALSE,6388c6286032e5002847e98c
638f070f087a7900287a9e26,,FALSE,638f070f087a7900287a9e28
638a304d6032e5002848086d,,FALSE,638a304d6032e5002848086f
638f0e34087a7900287aa085,,FALSE,638f0e34087a7900287aa087
638f1979087a7900287aa37c,,FALSE,638f1979087a7900287aa37e
6392ceef087a7900287aea5b,79374443400010,TRUE,632d4011e8c402005683e413
638f7776087a7900287ab37e,,FALSE,638f7776087a7900287ab380
63909890087a7900287ac742,40853686000047,TRUE,630ddd14a2f1890028786fe2
638f560e087a7900287aac41,,FALSE,638f560e087a7900287aac43
63908a4c087a7900287ac479,,FALSE,63908a4c087a7900287ac47b
6390a408087a7900287ac99d,40853686000047,TRUE,630ddd14a2f1890028786fe2
63909af4087a7900287ac7e2,40853686000047,TRUE,630ddd14a2f1890028786fe2
639c8d051048600d381b605f,40853686000047,TRUE,630ddd14a2f1890028786fe2
63b4029b0c646c59b4ab3688,19350700100017,TRUE,63b3ec070c646c4f65ab35e7
63c9769a597daf0c6e6b3ee7,,FALSE,63c9769a597daf66496b3ee9
63aac09d10004b4deaa580c8,,FALSE,63aac09d10004b38d6a580ca
63bfcc5b66193ef2131e8d1a,39960905600094,TRUE,63bd7c2c66193eac7f1e8625
63a1d586f145b12a56bd4eea,89753492100019,TRUE,6391e681087a7900287adec3
63ca65b0597daf4bef6b4411,,FALSE,63ca65b0597daf7bde6b4413
63b406d80c646c465dab369c,19350700100017,TRUE,63b3ec070c646c4f65ab35e7
63d7a97a7d2c59df7151fe26,82961303300010,TRUE,63cfbda1597dafdc346b5b07
63ea57c5ea7d34d626b96f75,,FALSE,63ea57c5ea7d34b7d4b96f77
63fb9f20dc149e53d9750208,,FALSE,63fb9f20dc149e7ca975020c
6400839cdc149e17e88b295e,33008478100054,TRUE,63fc8dd5dc149efe7577b087
63d934517d2c5925d1520cc5,38797206000066,TRUE,632c8055e8c402005683d766
63f37aa5e1a635239160ee49,30540504502252,TRUE,63f37983e1a6350c6c60ee32
63fe2d89dc149e0cea8039c9,33008478100054,TRUE,63fc8dd5dc149efe7577b087
6400ae24fa9543be821ecdc2,30540504501866,TRUE,63c520eb66193e12b61e9bc7
6405c931fa9543624c3228eb,80235447200044,TRUE,64031f0bfa9543b456276061
64007d65dc149eeebc8af3fd,30540504501866,TRUE,63c520eb66193e12b61e9bc7
63d92fe27d2c597697520c6a,34521216100029,TRUE,621c95e4a9d86e00282e9369
63d936e37d2c597e27520cdb,38797206000066,TRUE,632c8055e8c402005683d766
63ee12bbea7d34d389b987a1,40853686000047,TRUE,630ddd14a2f1890028786fe2
63e122a29c540c33c1196bd5,78611740800025,TRUE,626694f91460ea0028952c0f
63fe318adc149eb92f8056f1,33008478100054,TRUE,63fc8dd5dc149efe7577b087
63ff5178dc149eeb5184c07a,19350700100017,TRUE,63b3ec070c646c4f65ab35e7
64071a83a3c7be680bfa4d91,49330056000015,TRUE,62bd69419759bd0028589351
640835eca3c7be09150163d5,18440135400057,TRUE,6408356da3c7be46a0016056
640b42f9a3c7bed4881d658a,88803859300016,TRUE,6409b1d5a3c7be00f31240aa
640efae1a3c7bed27928318f,78611740800025,TRUE,626694f91460ea0028952c0f
63d92ef47d2c59abea520c57,38797206000066,TRUE,632c8055e8c402005683d766
63e4cd6dea7d340bc2b95266,,FALSE,63e4cd6dea7d34e015b95268
63ff4ffbdc149e32d684b253,19350700100017,TRUE,63b3ec070c646c4f65ab35e7
63ff5b64dc149e2210851ad8,33008478100054,TRUE,63fc8dd5dc149efe7577b087
6401ca2afa9543add223d178,30540504501866,TRUE,63c520eb66193e12b61e9bc7
63ff52e8dc149ed6dd84cec0,33008478100054,TRUE,63fc8dd5dc149efe7577b087
640898bea3c7beec7f090a45,78835426400095,TRUE,61d564cd06838c0028b6118c
640b452da3c7be05f81d7236,88803859300016,TRUE,6409b1d5a3c7be00f31240aa
641c2f5af22c13445ec44d4c,49330056000015,TRUE,62bd69419759bd0028589351
641c75b2f22c137e3fc61f11,33008478100054,TRUE,63fc8dd5dc149efe7577b087
641c2bfaf22c1333b4c4314c,,FALSE,641c2bfaf22c130652c4314f
6426a1f5dc6343f01f8102ba,33008478100054,TRUE,63fc8dd5dc149efe7577b087
64243a9f06b3a76dca2eeb71,,FALSE,64243a9f06b3a731c82eeb77
642bd9b5dc63435c249dc3d2,,FALSE,642bd9b5dc6343c74d9dc3d6
642edd836444d7ff2a12ba30,38797206000066,TRUE,632c8055e8c402005683d766
642f03586444d70e5813b314,38797206000066,TRUE,632c8055e8c402005683d766
642fb7f36444d7bca015eeaf,79204629400015,TRUE,620630f84e81140028a1aafd
643670426444d70c0e295f00,40853686000047,TRUE,630ddd14a2f1890028786fe2
6437fdef6444d75d822eabf5,,FALSE,6437fdef6444d7ae342eabf8
643d3f80f4102c64fba5b5e4,,FALSE,643d3f80f4102c57f8a5b5e7
643e783ff4102c048aa936e1,33008478100054,TRUE,63fc8dd5dc149efe7577b087
643e81fdf4102c24d3a95473,,FALSE,643e81fdf4102c418ea95476
6448ec9fc799c85cfb478d9c,90966279300019,TRUE,628e4fee408e970028449ddf
64412dbd7080a9a4bea0c216,,FALSE,64412dbd7080a9fa5ca0c21b
643fade0a9fb7ebeb8b56b12,33008478100054,TRUE,63fc8dd5dc149efe7577b087
6447d9b8c799c8bbe443ff56,,FALSE,6447d9b8c799c8622743ff59
643ffef0c3368c73789e5794,33008478100054,TRUE,63fc8dd5dc149efe7577b087
6442923e7080a953a5a4f7e9,,FALSE,6442923e7080a99df4a4f7ed
6442986d7080a90f59a51487,,FALSE,6442986d7080a92726a5148a
6446803a7080a92698af02d2,,FALSE,6446803a7080a9690daf02d5
6450be1c53d5af5f0c8eeab5,81073642100050,TRUE,61e53eeecc6f740028f872b9
6450d6a853d5afe0e28f6d7c,81073642100050,TRUE,61e53eeecc6f740028f872b9
645110f2219b7ab269e13f12,81073642100050,TRUE,61e53eeecc6f740028f872b9
645136811e97d1408e4c7763,81073642100050,TRUE,61e53eeecc6f740028f872b9
6451032153d5af0378905292,81073642100050,TRUE,61e53eeecc6f740028f872b9
645123d6946f9a8abf08184b,81073642100050,TRUE,61e53eeecc6f740028f872b9
6451358e1e97d129444c7044,81073642100050,TRUE,61e53eeecc6f740028f872b9
6452264654a508da611a3108,,FALSE,6452264654a508636c1a310b
64521ee254a508f6a719fe9a,34521216100029,TRUE,621c95e4a9d86e00282e9369
6452227454a5084d101a108a,34521216100029,TRUE,621c95e4a9d86e00282e9369
6452265d54a508254f1a3222,,FALSE,6452265d54a508d25b1a3225
64522c1954a508d77e1ab921,41478372000025,TRUE,632b0f14e8c4020056839a48
64522eaf54a50862461afad7,,FALSE,64522eaf54a50881951afadb
64522d6c54a5082d9c1ad9ab,,FALSE,64522d6c54a5083b071ad9ae
64522e0c54a508e5071ae9e6,,FALSE,64522e0c54a5081d271ae9ea
6452499b54a50879911c28a9,,FALSE,6452499b54a50861a61c28ac
645239bd54a508694e1b993a,,FALSE,645239bd54a508804d1b993d
6452573154a508a80f1cdafd,,FALSE,6452573154a50875fc1cdb00
645237ab54a5086d5f1b8658,,FALSE,645237ab54a508c89c1b865b
64524a0054a508fcce1c2dfd,41478372000025,TRUE,632b0f14e8c4020056839a48
645255ae54a508d69a1cc94e,,FALSE,645255ae54a50823dd1cc951
64525e7654a508ab091d53b8,,FALSE,64525e7654a508ed4e1d53c1
6452601554a5086b511d86ba,,FALSE,6452601a54a508839e1d8713
645260ec54a50808181da479,,FALSE,645260f154a5087c551da539
6452619254a50830a51dbbfa,,FALSE,6452619354a5085bfa1dbc01
6452620d54a508f9061dcc81,,FALSE,6452620e54a5081c361dccc0
6452705554a50868c11ed47f,,FALSE,6452705554a50834fc1ed482
6452723f54a5081ac91ee6ba,,FALSE,6452723f54a508b9481ee6bd
6452722354a5088b651ee5b5,,FALSE,6452722354a50809e31ee5b9
64528dbf54a508313a1ff015,,FALSE,64528dbf54a508438e1ff018
6452927654a5087bfa2001e6,,FALSE,6452927654a508cccd2001e9
6453757d54a508ea8f22d6bc,,FALSE,6453757e54a508932b22d6bf
6453947854a508821923a61e,,FALSE,6453947854a508f21a23a621
6453778054a50827bb22ec9f,,FALSE,6453778054a50871a222eca2
6453b72f54a5082f27249a94,,FALSE,6453b72f54a5085a79249a97
6453c0e954a50834a124dbfe,83486365600023,TRUE,625fc2249beecd0028a11e00
6453d433ea2e6663a27846af,,FALSE,6453d433ea2e662ab67846b2
6453c67defded073b4fb5aea,,FALSE,6453c67defded06faffb5aed
6453cdd1efded04a65fb93fa,,FALSE,6453cdd1efded05afcfb93fd
64547fbd37e6f40ad0d68070,,FALSE,64547fbd37e6f43ec0d68073
6453fdb737e6f4252bd5dd12,,FALSE,6453fdb737e6f43eaad5dd15
6454ab1737e6f47ebfd6f7dd,,FALSE,6454ab1837e6f400d0d6f7e4
6454bc7b37e6f4243bd79333,,FALSE,6454bc7b37e6f4efb2d7933a
6454b52537e6f47aeed75216,,FALSE,6454b52637e6f42da6d75219
6454ba5337e6f4f8dad7803c,,FALSE,6454ba5337e6f40e8ad7803f
6454b4d137e6f4efdbd74f0c,,FALSE,6454b4d137e6f4cfc1d74f0f
6454ca9337e6f4978cd804eb,,FALSE,6454ca9337e6f4dd2dd804ee
6454d64937e6f41a4bd87a1e,,FALSE,6454d64937e6f42b36d87a21
6455064a37e6f403acd9a831,,FALSE,6455064a37e6f40038d9a834
645514d937e6f4b21bda27cd,,FALSE,645514d937e6f45396da27d0
6455051437e6f4f359d99d93,83519684100026,TRUE,6453993954a5083ff623b89b
6459239037e6f4b12edfc6d3,,FALSE,6459239037e6f4a1acdfc6d6
6458f17f37e6f49ff3df3bd3,,FALSE,6458f17f37e6f4fdc1df3bd6
645a429237e6f405ade3d79e,,FALSE,645a429237e6f4489be3d7a2
645a54c837e6f43665e4ac80,,FALSE,645a54c837e6f4afcbe4ac83
645b4d83d65bc8b0a13dd04f,,FALSE,645b4d83d65bc8211b3dd056
645b6fb7d65bc812583edd7d,,FALSE,645b6fb7d65bc881d73edd80
645b8a8bd65bc81fcd3f76cd,33008478100054,TRUE,63fc8dd5dc149efe7577b087
645ba351d65bc8526e403fb9,,FALSE,645ba351d65bc8d14a403fbc
645cfaf6cc55be7151185380,,FALSE,645cfaf6cc55be0ed9185383
645cc5f7cc55beb94217034f,,FALSE,645cc5f7cc55be604d170353
645d290ccc55bea55019329b,,FALSE,645d290ccc55be17c319329e
645b8b2dd65bc8051d3f7c42,,FALSE,645b8b2dd65bc845d23f7c46
645bfe89a427d3d890ec5b7c,,FALSE,645bfe89a427d385b5ec5b7f
645de2e7cc55bebeac1a28f3,,FALSE,645de2e7cc55be7e8b1a28f6
645e5462cc55be097b1c329f,,FALSE,645e5462cc55be6b051c32a2
645e362dcc55be4e291ba7df,81160199600069,TRUE,6454f32037e6f46167d922f9
6461e153cc55be644a20cefa,,FALSE,6461e153cc55be094120cefe
6461f97ccc55bec2e6217b28,33008478100054,TRUE,63fc8dd5dc149efe7577b087
6461fa7acc55be692721844f,33008478100054,TRUE,63fc8dd5dc149efe7577b087
645dd18fcc55be5caa19ff06,,FALSE,645dd18fcc55bece5419ff09
645e3d5fcc55be42f21bceec,81160199600069,TRUE,6454f32037e6f46167d922f9
6461fcefcc55be4cf1219926,33008478100054,TRUE,63fc8dd5dc149efe7577b087
646211a9cc55be3a9022201a,33008478100054,TRUE,63fc8dd5dc149efe7577b087
6462272ecc55be85e12292cb,43861111300038,TRUE,6452284f54a508488c1a5ef7
646226d9cc55befe2c229002,,FALSE,646226d9cc55be0277229005
6462261bcc55be802f22896f,43861111300038,TRUE,6452284f54a508488c1a5ef7
64624317cc55be6cef236527,,FALSE,64624317cc55bebed923652a
64622e9dcc55be67aa22c43e,,FALSE,64622e9dcc55beab6a22c441
6462a08e84cf0465f5f99d4a,,FALSE,6462a08e84cf04274ff99d4d
64632d9784cf047dddfa4914,,FALSE,64632d9784cf044688fa4917
64624b3dcc55be83dd239c85,,FALSE,64624b3dcc55be5371239c88
646364016f340667beb596dd,33008478100054,TRUE,63fc8dd5dc149efe7577b087
6463de616f340687e8b7d05b,,FALSE,6463de616f34060b08b7d05e
646380176f34064da1b65972,,FALSE,646380176f3406584db65975
64635e266f34068d3cb58049,,FALSE,64635e266f340691d8b5804c
646390fb6f3406268bb6d372,,FALSE,646390fb6f34061eacb6d375
