_id;code;intitule;sousDomaine;Sous-domaine à ajouter;Sous-domaine à supprimer
696e4a37f74ca42de86de1dc;A1214;Patrouilleur modeleur / Patrouilleuse modeleuse VTT;Paysagisme, jardinage, entretien des espaces verts;;
696e4a38f74ca42de86de3d9;A1214;Patrouilleur modeleur / Patrouilleuse modeleuse VTT;Métiers du sport;;
696e4a38f74ca42de86de4f3;A1305;Technicien / Technicienne des services vétérinaires;Soins aux animaux;;
696e4a38f74ca42de86de5f0;A1305;Technicien / Technicienne des services vétérinaires;Industrie Agroalimentaire;;
696e4a37f74ca42de86de1b2;A1306;Chargé / Chargée de mission biodiversité;Assainissement biologique, nucléaire, dépollution;;
696e4a38f74ca42de86de607;A1306;Chargé / Chargée de mission biodiversité;Géologie, hydrologie, topographie;;
696e4a38f74ca42de86de316;A1307;Ingénieur forestier / Ingénieure forestière;Génie industriel, ingéniérie généraliste;;
696e4a38f74ca42de86de60b;A1307;Ingénieur forestier / Ingénieure forestière;Exploitation forestière, sylviculture;;
696e4a38f74ca42de86de4f4;A1308;Technicien / Technicienne de l'insémination animale;Soins aux animaux;;
696e4a38f74ca42de86de5ac;A1308;Technicien / Technicienne de l'insémination animale;Elevage d'animaux de ferme;;
696e4a38f74ca42de86de4f5;A1309;Technicien / Technicienne d'élevage équin;Soins aux animaux;;
696e4a38f74ca42de86de60d;A1309;Technicien / Technicienne d'élevage équin;Elevage de chevaux;;
696e4a38f74ca42de86de4f6;A1310;Technicien / Technicienne de production animale;Soins aux animaux;;
696e4a38f74ca42de86de5ad;A1310;Technicien / Technicienne de production animale;Elevage d'animaux de ferme;;
696e4a38f74ca42de86de60c;A1311;Technicien forestier / Technicienne forestière;Exploitation forestière, sylviculture;;
696e4a38f74ca42de86de29e;A1312;Directeur / Directrice environnement;Recyclage, collecte, traitement des déchets, assainissement, dépollution;;
696e4a38f74ca42de86de348;A1312;Directeur / Directrice environnement;Risques, qualité, hygiène, sécurité, environnement (QHSE);;
696e4a38f74ca42de86de29f;A1313;Chargé / Chargée de mission environnement;Recyclage, collecte, traitement des déchets, assainissement, dépollution;;
696e4a38f74ca42de86de349;A1313;Chargé / Chargée de mission environnement;Risques, qualité, hygiène, sécurité, environnement (QHSE);;
696e4a38f74ca42de86de5e7;A1432;Osiériculteur / Osiéricultrice;Sculpture, gravure, travail des matières (pierre, verre, plastique, céramique,bois …);;
696e4a38f74ca42de86de35d;A1433;Maraîcher / Maraîchère;Exploitation agricole;;
696e4a38f74ca42de86de35e;A1434;Tabaculteur / Tabacultrice;Exploitation agricole;;
696e4a38f74ca42de86de5eb;A1435;Eleveur / Eleveuse d'animaux de compagnie;Elevage de chats, chiens;;
696e4a38f74ca42de86de35f;A1436;Conducteur / Conductrice de travaux en entreprise de travaux agricoles;Exploitation agricole;;
696e4a38f74ca42de86de360;A1437;Champignonniste;Exploitation agricole;;
696e4a38f74ca42de86de610;A1438;Pêcheur / Pêcheuse à pied;Elevage de poissons, produits de la mer;;
696e4a38f74ca42de86de60e;A1439;Eleveur / Eleveuse d'équidés;Elevage de chevaux;;
696e4a38f74ca42de86de361;A1440;Cultivateur urbain / Cultivatrice urbaine;Exploitation agricole;;
696e4a38f74ca42de86de612;A1441;Pépiniériste;Horticulture : production de fleurs, végétaux, arbustes;;
696e4a38f74ca42de86de5ae;A1442;Eleveur / Eleveuse de lapins;Elevage d'animaux de ferme;;
696e4a38f74ca42de86de5e9;A1443;Cidrier / Cidrière;Production de produits fermiers;;
696e4a38f74ca42de86de614;A1443;Cidrier / Cidrière;Production d'alcool (vin, bière, cidre…);;
696e4a38f74ca42de86de362;A1444;Aide agricole en production fruitière;Exploitation agricole;;
696e4a38f74ca42de86de613;A1444;Aide agricole en production fruitière;Horticulture : production de fleurs, végétaux, arbustes;;
696e4a38f74ca42de86de611;A1445;Pêcheur sous-marin / Pêcheuse sous-marine;Elevage de poissons, produits de la mer;;
696e4a38f74ca42de86de615;A1446;Maître / Maîtresse de chai;Production d'alcool (vin, bière, cidre…);;
696e4a37f74ca42de86de23f;A1447;Herboriste;Vente en magasin : produits non alimentaires (vêtements, équipement, livres, …);;
696e4a38f74ca42de86de406;A1447;Herboriste;Pharmacie;;
696e4a38f74ca42de86de4f7;A1508;Dresseur animalier / Dresseuse animalière;Soins aux animaux;;
696e4a38f74ca42de86de5ec;A1508;Dresseur animalier / Dresseuse animalière;Elevage de chats, chiens;;
696e4a38f74ca42de86de4f8;A1509;Comportementaliste animalier / Comportementaliste animalière;Soins aux animaux;;
696e4a38f74ca42de86de5ed;A1509;Comportementaliste animalier / Comportementaliste animalière;Elevage de chats, chiens;;
696e4a38f74ca42de86de4f9;A1510;Préparateur / Préparatrice d'équidés;Soins aux animaux;;
696e4a38f74ca42de86de60f;A1510;Préparateur / Préparatrice d'équidés;Elevage de chevaux;;
696e4a38f74ca42de86de4fa;A1511;Gardien / Gardienne d'animaux;Soins aux animaux;;
696e4a38f74ca42de86de5ee;A1511;Gardien / Gardienne d'animaux;Elevage de chats, chiens;;
696e4a38f74ca42de86de616;B1404;Canneur rempailleur / Canneuse rempailleuse;Mobilier, ameublement, tapisserie;;
696e4a38f74ca42de86de5fa;B1502;Facteur / Factrice d'instruments de musique anciens;Fabrication et réparation d'instruments de musique;;
696e4a38f74ca42de86de5fb;B1503;Facteur / Factrice d'instruments à vent;Fabrication et réparation d'instruments de musique;;
696e4a38f74ca42de86de5fc;B1504;Facteur / Factrice de percussions;Fabrication et réparation d'instruments de musique;;
696e4a38f74ca42de86de5fd;B1505;Luthier / Luthière;Fabrication et réparation d'instruments de musique;;
696e4a38f74ca42de86de602;B1616;Opérateur / Opératrice en horlogerie;Bijouterie, Joaillerie, Horlogerie, Gemmologie;;
696e4a38f74ca42de86de42b;B1702;Technicien / Technicienne en ostéologie-moulage;Biologie, santé, sciences physiques;;
696e4a38f74ca42de86de5cd;B1807;Assistant / Assistante styliste;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de5ce;B1808;Premier / Première d'atelier;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de5cf;B1809;Sellier / Sellière;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de5d0;B1810;Fourreur / Fourreuse;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de5d1;B1811;Sellier-garnisseur / Sellière-garnisseuse;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de5d2;B1812;Modéliste;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de5d3;B1813;Tailleur / Tailleuse;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de5d4;B1814;Directeur / Directrice de collection;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de37f;C1209;Spécialiste de la vérification client;Conseil en emploi, insertion, orientation;;x
696e4a38f74ca42de86de34b;C1209;Spécialiste de la vérification client;Risques, qualité, hygiène, sécurité, environnement (QHSE);;x
696e4a38f74ca42de86de481;C1209;Spécialiste de la vérification client;Métiers du droit;;x
696e4a37f74ca42de86de1fa;D1110;Vendeur ambulant / Vendeuse ambulante;Vente en magasin : alimentation, produits frais, boissons;;
696e4a37f74ca42de86de240;D1110;Vendeur ambulant / Vendeuse ambulante;Vente en magasin : produits non alimentaires (vêtements, équipement, livres, …);;
696e4a38f74ca42de86de5f1;D1111;Chef / Cheffe de laboratoire en charcuterie;Industrie Agroalimentaire;;
696e4a38f74ca42de86de618;D1111;Chef / Cheffe de laboratoire en charcuterie;Boucherie, charcuterie, traiteur;;
696e4a38f74ca42de86de32a;D1112;Chef charcutier-traiteur / Cheffe charcutière-traiteuse;Cuisine;;
696e4a38f74ca42de86de619;D1112;Chef charcutier-traiteur / Cheffe charcutière-traiteuse;Boucherie, charcuterie, traiteur;;
696e4a37f74ca42de86de21b;D1113;Commercial itinérant / Commerciale itinérante en entreprise de commerce de gros;Développement commercial, force de vente;;
696e4a38f74ca42de86de24a;D1113;Commercial itinérant / Commerciale itinérante en entreprise de commerce de gros;Commerce en entreprise;;
696e4a37f74ca42de86de1fb;D1114;Torréfacteur / Torréfactrice;Vente en magasin : alimentation, produits frais, boissons;;
696e4a38f74ca42de86de5f2;D1114;Torréfacteur / Torréfactrice;Industrie Agroalimentaire;;
696e4a37f74ca42de86de1fc;D1115;Chocolatier / Chocolatière;Vente en magasin : alimentation, produits frais, boissons;;
696e4a38f74ca42de86de61a;D1115;Chocolatier / Chocolatière;Boulangerie, pâtisserie, chocolaterie;;
696e4a37f74ca42de86de1fd;D1116;Négociant / Négociante en bétail;Vente en magasin : alimentation, produits frais, boissons;;
696e4a38f74ca42de86de5af;D1116;Négociant / Négociante en bétail;Elevage d'animaux de ferme;;
696e4a38f74ca42de86de557;D1117;Chef pâtissier / Cheffe pâtissière;Gestion de projets informatiques;;x
696e4a38f74ca42de86de61b;D1117;Chef pâtissier / Cheffe pâtissière;Boulangerie, pâtisserie, chocolaterie;;
696e4a37f74ca42de86de1fe;D1118;Glacier / Glacière;Vente en magasin : alimentation, produits frais, boissons;;
696e4a38f74ca42de86de61c;D1118;Glacier / Glacière;Boulangerie, pâtisserie, chocolaterie;;
696e4a37f74ca42de86de241;D1223;Conseiller / Conseillère de vente en pièces de rechange et accessoires de véhicules;Vente en magasin : produits non alimentaires (vêtements, équipement, livres, …);;
696e4a38f74ca42de86de24b;D1223;Conseiller / Conseillère de vente en pièces de rechange et accessoires de véhicules;Commerce en entreprise;;
696e4a38f74ca42de86de292;D1223;Conseiller / Conseillère de vente en pièces de rechange et accessoires de véhicules;Mécanique, carrosserie auto, moto;;
696e4a38f74ca42de86de26a;D1224;Chargé / Chargée de location d'engins et de matériel de chantier;Management, exploitation, gestion, ingéniérie de la chaîne logistique;;x
696e4a38f74ca42de86de4df;D1224;Chargé / Chargée de location d'engins et de matériel de chantier;Conduite d'engins de chantier;;
696e4a38f74ca42de86de5f5;D1225;Responsable d'institut de beauté;Management, direction d'hôtel, restaurant, loisirs;;
696e4a38f74ca42de86de61d;D1225;Responsable d'institut de beauté;Esthétique;;
696e4a38f74ca42de86de5d5;D1226;Nettoyeur / Nettoyeuse en cuir et peausserie;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de624;D1226;Nettoyeur / Nettoyeuse en cuir et peausserie;Pressing, blanchisserie, teinturerie, cordonnerie;;
696e4a38f74ca42de86de603;D1227;Acheteur vendeur / Acheteuse vendeuse d'or, de métaux précieux;Bijouterie, Joaillerie, Horlogerie, Gemmologie;;
696e4a38f74ca42de86de629;D1227;Acheteur vendeur / Acheteuse vendeuse d'or, de métaux précieux;Achats;;
696e4a38f74ca42de86de4ea;D1228;Employé / Employée de laverie automatique;Nettoyage, propreté;;
696e4a38f74ca42de86de625;D1228;Employé / Employée de laverie automatique;Pressing, blanchisserie, teinturerie, cordonnerie;;
696e4a38f74ca42de86de4eb;D1229;Responsable de pressing;Nettoyage, propreté;;
696e4a38f74ca42de86de626;D1229;Responsable de pressing;Pressing, blanchisserie, teinturerie, cordonnerie;;
696e4a38f74ca42de86de26b;D1230;Responsable d'agence de location de matériel de transport;Management, exploitation, gestion, ingéniérie de la chaîne logistique;;x
696e4a38f74ca42de86de27d;D1230;Responsable d'agence de location de matériel de transport;Transport, conduite, livraison;;
696e4a38f74ca42de86de3ce;D1231;Spa Praticien / Spa Praticienne;Santé, soins aux personnes;;
696e4a38f74ca42de86de61e;D1231;Spa Praticien / Spa Praticienne;Esthétique;;
696e4a38f74ca42de86de46d;D1232;Formateur / Formatrice en esthétisme;Formation;;
696e4a38f74ca42de86de61f;D1232;Formateur / Formatrice en esthétisme;Esthétique;;
696e4a37f74ca42de86de242;D1233;Galeriste;Vente en magasin : produits non alimentaires (vêtements, équipement, livres, …);;
696e4a38f74ca42de86de4e3;D1233;Galeriste;Arts plastiques, galeries, marché de l'art;;
696e4a38f74ca42de86de27e;D1234;Chargé / Chargée de location de matériel de transport ou de loisirs;Transport, conduite, livraison;;
696e4a38f74ca42de86de38c;D1234;Chargé / Chargée de location de matériel de transport ou de loisirs;Tourisme : conception de produits touristiques, voyages;;
696e4a38f74ca42de86de4ec;D1235;Plagiste;Nettoyage, propreté;;
696e4a38f74ca42de86de605;D1235;Plagiste;Accueil touristique;;
696e4a38f74ca42de86de627;D1236;Repasseur / Repasseuse;Pressing, blanchisserie, teinturerie, cordonnerie;;
696e4a38f74ca42de86de3cf;D1237;Socio-esthéticien / Socio-esthéticienne;Santé, soins aux personnes;;
696e4a38f74ca42de86de620;D1237;Socio-esthéticien / Socio-esthéticienne;Esthétique;;
696e4a38f74ca42de86de26c;D1238;Chef / Cheffe d'agence de location de véhicules;Management, exploitation, gestion, ingéniérie de la chaîne logistique;;x
696e4a38f74ca42de86de27f;D1238;Chef / Cheffe d'agence de location de véhicules;Transport, conduite, livraison;;
696e4a38f74ca42de86de621;D1239;Perceur corporel / Perceuse corporelle;Esthétique;;
696e4a38f74ca42de86de622;D1240;Prothésiste ongulaire;Esthétique;;
696e4a38f74ca42de86de5d6;D1241;Conseiller / Conseillère en image personnelle;Mode, travail du textile et du cuir;;
696e4a38f74ca42de86de623;D1241;Conseiller / Conseillère en image personnelle;Esthétique;;
696e4a38f74ca42de86de628;D1242;Linger / Lingère;Pressing, blanchisserie, teinturerie, cordonnerie;;
696e4a37f74ca42de86de243;D1243;Acheteur vendeur / Acheteuse vendeuse en dépôt-vente;Vente en magasin : produits non alimentaires (vêtements, équipement, livres, …);;
696e4a37f74ca42de86de20c;D1303;Responsable de station-service;Management commercial;;
696e4a38f74ca42de86de24c;D1303;Responsable de station-service;Commerce en entreprise;;
696e4a38f74ca42de86de4ed;D1304;Responsable de station de lavage;Nettoyage, propreté;;
696e4a37f74ca42de86de20d;D1305;Responsable de magasin cycles;Management commercial;;
696e4a38f74ca42de86de24d;D1305;Responsable de magasin cycles;Commerce en entreprise;;
696e4a37f74ca42de86de21c;D1421;Conseiller commercial / Conseillère commerciale en véhicules industriels;Développement commercial, force de vente;;
696e4a38f74ca42de86de24e;D1421;Conseiller commercial / Conseillère commerciale en véhicules industriels;Commerce en entreprise;;
696e4a38f74ca42de86de4ce;D1422;Chargé / Chargée de recouvrement de créances;Finance, Analyse financière, contrôle de gestion, trésorerie;;
696e4a38f74ca42de86de52b;D1422;Chargé / Chargée de recouvrement de créances;Comptabilité, gestion de paie;;
696e4a37f74ca42de86de21d;D1423;Conseiller / Conseillère produits en véhicules;Développement commercial, force de vente;;
696e4a38f74ca42de86de24f;D1423;Conseiller / Conseillère produits en véhicules;Commerce en entreprise;;
696e4a37f74ca42de86de21e;D1424;Conseiller vendeur / Conseillère vendeuse à domicile;Développement commercial, force de vente;;
696e4a38f74ca42de86de398;D1424;Conseiller vendeur / Conseillère vendeuse à domicile;Téléconseil, vente à distance;;
696e4a37f74ca42de86de21f;D1425;Conseiller vendeur / Conseillère vendeuse de véhicules poids lourds;Développement commercial, force de vente;;
696e4a38f74ca42de86de250;D1425;Conseiller vendeur / Conseillère vendeuse de véhicules poids lourds;Commerce en entreprise;;
696e4a37f74ca42de86de220;D1426;Vendeur / Vendeuse en véhicules de collection;Développement commercial, force de vente;;
696e4a38f74ca42de86de251;D1426;Vendeur / Vendeuse en véhicules de collection;Commerce en entreprise;;
696e4a37f74ca42de86de221;D1427;Conseiller vendeur / Conseillère vendeuse d'autocars;Développement commercial, force de vente;;
696e4a38f74ca42de86de252;D1427;Conseiller vendeur / Conseillère vendeuse d'autocars;Commerce en entreprise;;
696e4a37f74ca42de86de1d8;D1428;Superviseur / Superviseuse technique et logistique en assistance de régulation médicale;Sécurité, secours, surveillance;;
696e4a38f74ca42de86de3d0;D1428;Superviseur / Superviseuse technique et logistique en assistance de régulation médicale;Santé, soins aux personnes;;
696e4a38f74ca42de86de253;D1429;Assistant / Assistante import-export;Commerce en entreprise;;
696e4a38f74ca42de86de62a;D1429;Assistant / Assistante import-export;Achats;;
696e4a37f74ca42de86de222;D1430;Conseiller vendeur / Conseillère vendeuse de véhicules de loisirs;Développement commercial, force de vente;;
696e4a38f74ca42de86de254;D1430;Conseiller vendeur / Conseillère vendeuse de véhicules de loisirs;Commerce en entreprise;;
696e4a38f74ca42de86de3ed;D1431;Assistant / Assistante achat;Administratif, secrétariat, assistanat;;
696e4a38f74ca42de86de62b;D1431;Assistant / Assistante achat;Achats;;
696e4a37f74ca42de86de233;D1432;Assistant / Assistante service clients;Accueil, service client;;
696e4a38f74ca42de86de3ee;D1432;Assistant / Assistante service clients;Administratif, secrétariat, assistanat;;
696e4a37f74ca42de86de223;D1433;Commercial / Commerciale export;Développement commercial, force de vente;;
696e4a38f74ca42de86de255;D1433;Commercial / Commerciale export;Commerce en entreprise;;
696e4a37f74ca42de86de224;D1434;Conseiller commercial / Conseillère commerciale motocycles;Développement commercial, force de vente;;
696e4a38f74ca42de86de256;D1434;Conseiller commercial / Conseillère commerciale motocycles;Commerce en entreprise;;
696e4a37f74ca42de86de234;D1435;Responsable de plateau de centre d'appels;Accueil, service client;;
696e4a37f74ca42de86de20e;D1435;Responsable de plateau de centre d'appels;Management commercial;;
696e4a37f74ca42de86de1d9;D1436;Assistant / Assistante de régulation médicale (ARM);Sécurité, secours, surveillance;;
696e4a38f74ca42de86de3d1;D1436;Assistant / Assistante de régulation médicale (ARM);Santé, soins aux personnes;;
696e4a37f74ca42de86de20f;D1437;Gérant / Gérante de négoce automobile;Management commercial;;
696e4a37f74ca42de86de244;D1437;Gérant / Gérante de négoce automobile;Vente en magasin : produits non alimentaires (vêtements, équipement, livres, …);;
696e4a37f74ca42de86de225;D1438;Assistant / Assistante e-commerce;Développement commercial, force de vente;;
696e4a38f74ca42de86de2b3;D1438;Assistant / Assistante e-commerce;Communication, marketing, publicité;;
696e4a37f74ca42de86de236;D1511;Opérateur / Opératrice de station service;Accueil, service client;;
696e4a37f74ca42de86de201;D1511;Opérateur / Opératrice de station service;Vente en magasin : alimentation, produits frais, boissons;;
696e4a38f74ca42de86de576;E1114;Reporter / Reportrice;Journalisme, création de contenu;;
696e4a38f74ca42de86de57c;E1115;Chef / Cheffe de projet jeux vidéo;Conception de jeux vidéos;;
696e4a38f74ca42de86de571;E1116;Responsable d'édition en presse;Edition;;
696e4a38f74ca42de86de577;E1116;Responsable d'édition en presse;Journalisme, création de contenu;;
696e4a38f74ca42de86de4a6;E1117;Wedding planner;Organisation d'événements;;
696e4a38f74ca42de86de578;E1118;Présentateur / Présentatrice journaliste;Journalisme, création de contenu;;
696e4a38f74ca42de86de2b4;E1119;Concepteur rédacteur / Conceptrice rédactrice;Communication, marketing, publicité;;
696e4a38f74ca42de86de579;E1119;Concepteur rédacteur / Conceptrice rédactrice;Journalisme, création de contenu;;
696e4a38f74ca42de86de569;E1120;Chef / Cheffe de projets traduction;Traduction, écriture;;
696e4a38f74ca42de86de572;E1121;Secrétaire de rédaction;Edition;;
696e4a38f74ca42de86de57a;E1121;Secrétaire de rédaction;Journalisme, création de contenu;;
696e4a38f74ca42de86de56a;E1122;Transcripteur adaptateur / Transcriptrice adaptatrice;Traduction, écriture;;
696e4a38f74ca42de86de56b;E1123;Interprète;Traduction, écriture;;
696e4a38f74ca42de86de2b5;E1124;Social media manager - Responsable des médias sociaux;Communication, marketing, publicité;;
696e4a38f74ca42de86de566;E1124;Social media manager - Responsable des médias sociaux;Animation web, community management;;
696e4a38f74ca42de86de57d;E1125;Concepteur / Conceptrice de jeux vidéo;Conception de jeux vidéos;;
696e4a38f74ca42de86de57e;E1126;Auteur / Auteure de jeux de société;Conception de jeux vidéos;;
696e4a38f74ca42de86de2b6;E1127;Brand content manager;Communication, marketing, publicité;;
696e4a38f74ca42de86de2b7;E1128;Directeur / Directrice de création;Communication, marketing, publicité;;
696e4a38f74ca42de86de2ca;E1128;Directeur / Directrice de création;Graphisme, infographisme, conception de contenus multimédia;;
696e4a38f74ca42de86de2b8;E1129;Directeur / Directrice artistique communication;Communication, marketing, publicité;;
696e4a38f74ca42de86de2cb;E1129;Directeur / Directrice artistique communication;Graphisme, infographisme, conception de contenus multimédia;;
696e4a38f74ca42de86de39c;E1208;Chef / Cheffe de studio de photographie;Photographie;;
696e4a38f74ca42de86de39d;E1209;Responsable de laboratoire photographique;Photographie;;
696e4a38f74ca42de86de2cc;E1210;Web designer;Graphisme, infographisme, conception de contenus multimédia;;
696e4a38f74ca42de86de55d;E1210;Web designer;Développement web, intégration;;
696e4a38f74ca42de86de2cd;E1211;Dessinateur-illustrateur / Dessinatrice-illustratrice;Graphisme, infographisme, conception de contenus multimédia;;
696e4a38f74ca42de86de62d;E1211;Dessinateur-illustrateur / Dessinatrice-illustratrice;Dessin d'art;;
696e4a38f74ca42de86de547;E1309;Responsable d'atelier de faÃ§onnage routage;Imprimerie;;
696e4a38f74ca42de86de34c;E1310;Contrôleur / Contrôleuse qualité en industrie graphique;Risques, qualité, hygiène, sécurité, environnement (QHSE);;
696e4a38f74ca42de86de548;E1310;Contrôleur / Contrôleuse qualité en industrie graphique;Imprimerie;;
696e4a38f74ca42de86de549;E1311;Régleur / Régleuse de machines de faÃ§onnage routage;Imprimerie;;
696e4a38f74ca42de86de56c;E1312;Lecteur-correcteur / Lectrice-correctrice;Traduction, écriture;;
696e4a38f74ca42de86de573;E1312;Lecteur-correcteur / Lectrice-correctrice;Edition;;
696e4a38f74ca42de86de54a;E1313;Agent / Agente d'encadrement en industrie graphique;Imprimerie;;
696e4a38f74ca42de86de54b;E1314;Conducteur / Conductrice de machines à pelliculer;Imprimerie;;
696e4a38f74ca42de86de54c;E1315;Conducteur / Conductrice de machines de reliure automatique;Imprimerie;;
696e4a38f74ca42de86de2b9;E1403;Consultant / Consultante média;Communication, marketing, publicité;;
696e4a38f74ca42de86de2ba;E1404;Assistant / Assistante en publicité;Communication, marketing, publicité;;
696e4a38f74ca42de86de2bb;E1405;Référenceur / Référenceuse web;Communication, marketing, publicité;;
696e4a38f74ca42de86de55e;E1405;Référenceur / Référenceuse web;Développement web, intégration;;
696e4a38f74ca42de86de2bc;E1406;Influenceur / Influenceuse web;Communication, marketing, publicité;;
696e4a38f74ca42de86de567;E1406;Influenceur / Influenceuse web;Animation web, community management;;
696e4a38f74ca42de86de2bd;E1407;Traffic manager;Communication, marketing, publicité;;
696e4a38f74ca42de86de2be;E1408;Responsable trafic création;Communication, marketing, publicité;;
696e4a38f74ca42de86de2bf;E1409;Acheteur / Acheteuse média;Communication, marketing, publicité;;
696e4a38f74ca42de86de62c;E1409;Acheteur / Acheteuse média;Achats;;
696e4a38f74ca42de86de2c0;E1410;Responsable programmatique;Communication, marketing, publicité;;
696e4a38f74ca42de86de2c1;E1411;Chargé / Chargée de développement du patrimoine publicitaire;Communication, marketing, publicité;;
696e4a38f74ca42de86de2c2;E1412;Directeur / Directrice média;Communication, marketing, publicité;;
696e4a38f74ca42de86de2c3;E1413;Chef / Cheffe de projet publicitaire;Communication, marketing, publicité;;
696e4a38f74ca42de86de2c4;E1414;Chargé / Chargée de diffusion publicitaire;Communication, marketing, publicité;;
